geometry,count
"{""type"": ""Point"", ""coordinates"": [-73.99203074,40.6902375]}",7
"{""type"": ""Point"", ""coordinates"": [-73.95772297,40.77112927]}",4
"{""type"": ""Point"", ""coordinates"": [-73.99612349,40.69089272]}",3
"{""type"": ""Point"", ""coordinates"": [-73.9544354,40.70684203]}",3
"{""type"": ""Point"", ""coordinates"": [-73.97536082,40.74144387]}",3
"{""type"": ""Point"", ""coordinates"": [-73.94818595,40.70411791]}",3
"{""type"": ""Point"", ""coordinates"": [-73.94891962,40.78245418]}",3
"{""type"": ""Point"", ""coordinates"": [-73.95242929,40.78948542]}",3
"{""type"": ""Point"", ""coordinates"": [-73.97728533,40.78018397]}",2
"{""type"": ""Point"", ""coordinates"": [-73.98517977,40.72066442]}",2
"{""type"": ""Point"", ""coordinates"": [-73.9590097,40.77677702]}",2
"{""type"": ""Point"", ""coordinates"": [-73.95850939,40.71745169]}",2
"{""type"": ""Point"", ""coordinates"": [-73.99645295,40.6861758]}",2
"{""type"": ""Point"", ""coordinates"": [-73.98700053,40.6686273]}",2
"{""type"": ""Point"", ""coordinates"": [-73.99785267,40.6831164]}",2
"{""type"": ""Point"", ""coordinates"": [-73.9550858,40.73232194]}",2
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",2
"{""type"": ""Point"", ""coordinates"": [-73.98501143,40.67461342]}",2
"{""type"": ""Point"", ""coordinates"": [-73.99906065,40.73047747]}",2
"{""type"": ""Point"", ""coordinates"": [-73.97041192,40.7973721]}",2
"{""type"": ""Point"", ""coordinates"": [-73.96818053,40.8021174]}",1
"{""type"": ""Point"", ""coordinates"": [-73.95826,40.73266]}",1
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",1
"{""type"": ""Point"", ""coordinates"": [-73.95238108,40.69527008]}",1
"{""type"": ""Point"", ""coordinates"": [-74.01275056,40.6773429]}",1
"{""type"": ""Point"", ""coordinates"": [-73.94880027,40.71766197]}",1
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",1
"{""type"": ""Point"", ""coordinates"": [-73.94803392,40.77536905]}",1
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",1
"{""type"": ""Point"", ""coordinates"": [-73.94407279,40.70510918]}",1
"{""type"": ""Point"", ""coordinates"": [-73.96186,40.795346]}",1
"{""type"": ""Point"", ""coordinates"": [-73.94945003,40.7934337]}",1
"{""type"": ""Point"", ""coordinates"": [-73.97793172,40.72082834]}",1
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",1
"{""type"": ""Point"", ""coordinates"": [-73.98432695,40.6802133]}",1
"{""type"": ""Point"", ""coordinates"": [-73.9786517,40.7829391]}",1
"{""type"": ""Point"", ""coordinates"": [-73.98940236,40.70255088]}",1
"{""type"": ""Point"", ""coordinates"": [-73.94752622,40.72481256]}",1
"{""type"": ""Point"", ""coordinates"": [-73.9979009,40.75660359]}",1
"{""type"": ""Point"", ""coordinates"": [-73.9647628,40.68851534]}",1
"{""type"": ""Point"", ""coordinates"": [-73.97087984,40.6729679]}",1
"{""type"": ""Point"", ""coordinates"": [-73.96119945,40.76873687]}",1
